player,age,tm.x,number,position,ht,wt,college,country
Jalen Lecque,20,IND,0,G,4-Jun,185,Brewster Academy (NH),USA
Damion Lee,28,GSW,1,G-F,5-Jun,210,Louisville,USA
Saben Lee,21,DET,38,G,2-Jun,183,Vanderbilt,USA
Alex Len,27,TOT,27,C,1-Jul,250,Maryland,Ukraine
Kawhi Leonard,29,LAC,2,F,7-Jun,225,San Diego State,USA
Meyers Leonard,28,MIA,0,F-C,1-Jul,260,Illinois,USA
Caris LeVert,26,BRK,22,G,6-Jun,205,Michigan,USA
Kira Lewis Jr.,19,NOP,13,G,1-Jun,170,Alabama,USA
Damian Lillard,30,POR,0,G,2-Jun,195,Weber State,USA
Nassir Little,20,POR,9,F-G,5-Jun,220,North Carolina,USA
Kevon Looney,24,GSW,5,F,9-Jun,222,UCLA,USA
Brook Lopez,32,MIL,11,C,1-Jul,282,Stanford,USA
Robin Lopez,32,WAS,15,C,1-Jul,281,Stanford,USA
Kevin Love,32,CLE,0,F-C,8-Jun,251,UCLA,USA
Kyle Lowry,34,TOR,7,G,1-Jun,196,Villanova,USA
Timothé Luwawu-Cabarrot,25,BRK,NA,NA,NA,NA,NA,NA
Trey Lyles,25,SAS,41,F,9-Jun,234,Kentucky,Canada
Thon Maker,23,CLE,NA,F-C,1-Jul,221,NA,South Sudan
Théo Maledon,19,OKC,NA,NA,NA,NA,NA,NA
Karim Mané,20,ORL,NA,NA,NA,NA,NA,NA
Terance Mann,24,LAC,14,G-F,5-Jun,215,Florida State,USA
Nico Mannion,19,GSW,2,G,2-Jun,190,Arizona,Italy
Boban Marjanović,32,DAL,NA,NA,NA,NA,NA,NA
Lauri Markkanen,23,CHI,24,F-C,1-Jul,240,Arizona,Finland
Naji Marshall,23,NOP,8,F,7-Jun,220,Xavier,USA
Caleb Martin,25,CHO,10,F,5-Jun,205,Nevada-Reno,USA
Cody Martin,25,CHO,11,F,5-Jun,205,Nevada-Reno,USA
Kelan Martin,25,IND,21,F,5-Jun,230,Butler,USA
Kenyon Martin Jr.,20,HOU,6,F,6-Jun,215,-,USA
Frank Mason III,26,ORL,NA,NA,NA,NA,NA,NA
